,town,country_string,eastings,country,region,longitude,uk_region,postcode,latitude,northings
213,PEACEHAVEN,England,541100,ENG,East Sussex,0.00232,South East England,BN10,50.7953,101500
223,EASTBOURNE,England,559000,ENG,East Sussex,0.25536,South East England,BN20,50.77449,99700
224,EASTBOURNE,England,560500,ENG,East Sussex,0.27653,South East England,BN21,50.77228,99500
225,,England,561000,ENG,East Sussex,0.2844,South East England,BN22,50.78832,101300
226,EASTBOURNE,England,563000,ENG,East Sussex,0.31325,South East England,BN23,50.79764,102400
227,WESTHAM,England,564200,ENG,East Sussex,0.3312,South East England,BN24,50.81618,104500
228,SEAFORD,England,548700,ENG,East Sussex,0.10932,South East England,BN25,50.77633,99600
229,LONG MAN,England,556600,ENG,East Sussex,0.22352,South East England,BN26,50.82098,104800
230,HAILSHAM,England,559300,ENG,East Sussex,0.2643,South East England,BN27,50.87146,110500
239,LEWES,England,540700,ENG,East Sussex,0.00014,South East England,BN7,50.87719,110600
240,RINGMER,England,544200,ENG,East Sussex,0.05148,South East England,BN8,50.91318,114700
241,NEWHAVEN,England,544500,ENG,East Sussex,0.05058,South East England,BN9,50.79536,101600
242,BROMLEY,England,540600,ENG,Greater London,0.02192,London,BR1,51.41107,170000
243,BROMLEY,England,540700,ENG,Greater London,0.02237,London,BR2,51.38858,167500
246,BROMLEY,England,546400,ENG,Greater London,0.10436,London,BR5,51.38983,167800
247,BROMLEY,England,545700,ENG,Greater London,0.0932,London,BR6,51.36575,165100
248,BROMLEY,England,544100,ENG,Greater London,0.07222,London,BR7,51.41019,170000
249,SWANLEY,England,551400,ENG,Kent,0.1766,South East England,BR8,51.39751,168800
396,FULBOURN,England,549700,ENG,Cambridgeshire,0.18955,East of England,CB1,52.17611,255400
397,SAFFRON WALDEN,England,555400,ENG,Essex,0.26551,East of England,CB10,52.02989,239300
398,NEWPORT,England,552000,ENG,Essex,0.21443,East of England,CB11,51.99938,235800
399,GREAT SHELFORD,England,545900,ENG,Cambridgeshire,0.13333,East of England,CB2,52.16276,253800
400,BALSHAM,England,557100,ENG,Cambridgeshire,0.29553,East of England,CB21,52.13194,250712
401,LITTLE SHELFORD,England,545719,ENG,Cambridgeshire,0.12898,East of England,CB22,52.12718,249835
403,OVER,England,538196,ENG,Cambridgeshire,0.02762,East of England,CB24,52.31538,270565
404,LODE,England,552595,ENG,Cambridgeshire,0.23615,East of England,CB25,52.26083,264917
405,HARDWICK,England,538300,ENG,Cambridgeshire,0.02448,East of England,CB3,52.21324,259200
406,IMPINGTON,England,544400,ENG,Cambridgeshire,0.11521,East of England,CB4,52.24312,262700
407,STOW CUM QUY,England,550900,ENG,Cambridgeshire,0.21021,East of England,CB5,52.23868,262400
408,DOWNHAM,England,551300,ENG,Cambridgeshire,0.22434,East of England,CB6,52.40388,280800
409,SOHAM,England,558000,ENG,Cambridgeshire,0.32087,East of England,CB7,52.36606,276800
410,WOODDITTON,England,565700,ENG,Cambridgeshire,0.42659,East of England,CB8,52.23083,262000
411,HAVERHILL,England,567300,ENG,Suffolk,0.44187,East of England,CB9,52.08212,245500
471,SOUTHMINSTER,England,596200,ENG,Essex,0.83719,East of England,CM0,51.66221,199800
472,CHELMSFORD,England,569600,ENG,Essex,0.45694,East of England,CM1,51.74454,208000
473,,England,569300,ENG,Essex,0.44605,East of England,CM11,51.62335,194500
